R1;S1;K1;BEGINNER;Mi blocco sulle stringhe
R2;S2;K3;INTERMEDIATE;Vorrei migliorare gli script
R3;S3;K2;BEGINNER;Difficoltà con le classi
R4;S4;K4;BEGINNER;HTML base poco chiaro
R5;S5;K6;INTERMEDIATE;Problemi con JavaScript
R6;S6;K7;BEGINNER;Non capisco le query
R7;S7;K8;INTERMEDIATE;Algoritmi difficili
R8;S8;K9;BEGINNER;Concetti OS confusi
R9;S9;K10;INTERMEDIATE;Reti poco chiare
R10;S10;K11;BEGINNER;Conversazione difficile
R11;S11;K13;INTERMEDIATE;Problemi con algebra
R12;S12;K14;BEGINNER;Fisica complicata
R13;S13;K15;INTERMEDIATE;Chimica da migliorare
R14;S14;K16;BEGINNER;Biologia difficile
R15;S15;K17;BEGINNER;Date storiche confuse
R16;S16;K18;INTERMEDIATE;Geografia complessa
R17;S17;K19;BEGINNER;Filosofia poco chiara
R18;S18;K20;INTERMEDIATE;Economia difficile
R19;S19;K21;BEGINNER;Fatico a risolvere problemi
R20;S20;K22;INTERMEDIATE;Teamwork da migliorare
R21;S21;K23;BEGINNER;Comunicazione debole
R22;S22;K24;INTERMEDIATE;Pensiero critico lento
R23;S23;K25;BEGINNER;Gestione tempo scarsa
R24;S24;K26;BEGINNER;Leadership inesperta
R25;S25;K27;INTERMEDIATE;Adattamento difficile
R26;S26;K28;BEGINNER;Creatività limitata
R27;S27;K29;INTERMEDIATE;Autonomia da migliorare
R28;S28;K30;BEGINNER;Errori di distrazione
R29;S29;K31;INTERMEDIATE;Excel avanzato difficile
R30;S30;K32;BEGINNER;Word base
R31;S31;K33;BEGINNER;PowerPoint base
R32;S32;K34;INTERMEDIATE;Git complicato
R33;S33;K35;BEGINNER;Debug difficile
R34;S34;K36;BEGINNER;Testing poco chiaro
R35;S35;K37;INTERMEDIATE;Analisi dati complessa
R36;S36;K38;BEGINNER;Sicurezza poco chiara
R37;S37;K39;BEGINNER;Machine learning base
R38;S38;K40;INTERMEDIATE;AI difficile
R39;S39;K41;BEGINNER;Disegno tecnico base
R40;S40;K42;BEGINNER;Attività fisica limitata
R41;S41;K43;INTERMEDIATE;Musica teoria
R42;S42;K44;BEGINNER;Arte base
R43;S43;K45;BEGINNER;Elettronica difficile
R44;S44;K46;INTERMEDIATE;Meccanica complessa
R45;S45;K47;BEGINNER;Robotica base
R46;S46;K48;INTERMEDIATE;Cloud difficile
R47;S47;K49;INTERMEDIATE;Project management
R48;S48;K50;BEGINNER;Parlare in pubblico
R49;S49;K5;BEGINNER;CSS poco chiaro
R50;S50;K12;INTERMEDIATE;Grammatica italiana
